Template File,Linked File,Type,Selector,Usage Count,Status
change_password.html,change_password.css,CSS,.valid-feedback,0,Unused
change_password.html,change_password.css,CSS,.very-strong,0,Unused
change_password.html,change_password.css,CSS,.weak,0,Unused
management.html,management.css,CSS,.Selector,0,Unused
management.html,management.css,CSS,._SimpleNamespaces,0,Unused
management.html,management.css,CSS,.btn,4,Used
management.html,management.css,CSS,.btn-group,0,Unused
management.html,management.css,CSS,.card-header,4,Used
management.html,management.css,CSS,.card-title,4,Used
management.html,management.css,CSS,.css,0,Unused
management.html,management.css,CSS,.data-updated,0,Unused
management.html,management.css,CSS,.error-message,0,Unused
management.html,management.css,CSS,.fade-in,0,Unused
management.html,management.css,CSS,.info-item,0,Unused
management.html,management.css,CSS,.info-label,0,Unused
management.html,management.css,CSS,.info-value,0,Unused
management.html,management.css,CSS,.loading-overlay,0,Unused
management.html,management.css,CSS,.page-title,0,Unused
management.html,management.css,CSS,.refresh-btn,0,Unused
management.html,management.css,CSS,.spinner-border,0,Unused
management.html,management.css,CSS,.stat-label,0,Unused
management.html,management.css,CSS,.stat-number,0,Unused
management.html,management.css,CSS,.stats-grid,0,Unused
management.html,management.css,CSS,.status-error,0,Unused
management.html,management.css,CSS,.status-grid,0,Unused
management.html,management.css,CSS,.status-healthy,0,Unused
management.html,management.css,CSS,.status-indicator,3,Used
management.html,management.css,CSS,.status-item,0,Unused
management.html,management.css,CSS,.status-label,0,Unused
management.html,management.css,CSS,.status-monitor-card,0,Unused
management.html,management.css,CSS,.status-value,0,Unused
management.html,management.css,CSS,.status-warning,0,Unused
management.html,management.css,CSS,.success-message,0,Unused
management.html,management.css,CSS,.system-info-card,0,Unused
management.html,management.css,CSS,.system-overview-card,0,Unused
management.html,management.css,CSS,.text-info,1,Used
management.html,management.css,CSS,.text-primary,1,Used
management.html,management.css,CSS,.text-success,1,Used
management.html,management.css,CSS,.text-warning,1,Used
management.html,management.css,CSS,.time-display,0,Unused
management.html,management.css,CSS,.util,0,Unused
management.html,management.css,CSS,.warning-message,0,Unused
management.html,management.css,CSS,.Selector,0,Unused
management.html,management.css,CSS,._SimpleNamespaces,0,Unused
management.html,management.css,CSS,.active,0,Unused
management.html,management.css,CSS,.alert,0,Unused
management.html,management.css,CSS,.alert-danger,0,Unused
management.html,management.css,CSS,.alert-info,0,Unused
management.html,management.css,CSS,.alert-success,0,Unused
management.html,management.css,CSS,.alert-warning,0,Unused
management.html,management.css,CSS,.btn,5,Used
management.html,management.css,CSS,.btn-close,2,Used
management.html,management.css,CSS,.btn-danger,0,Unused
management.html,management.css,CSS,.btn-group-vertical,0,Unused
management.html,management.css,CSS,.btn-info,0,Unused
management.html,management.css,CSS,.btn-primary,3,Used
management.html,management.css,CSS,.btn-secondary,2,Used
management.html,management.css,CSS,.btn-success,0,Unused
management.html,management.css,CSS,.btn-warning,0,Unused
management.html,management.css,CSS,.css,0,Unused
management.html,management.css,CSS,.empty-state,1,Used
management.html,management.css,CSS,.error,0,Unused
management.html,management.css,CSS,.execution-history,0,Unused
management.html,management.css,CSS,.execution-item,0,Unused
management.html,management.css,CSS,.execution-status,0,Unused
management.html,management.css,CSS,.execution-time,0,Unused
management.html,management.css,CSS,.fade-in,0,Unused
management.html,management.css,CSS,.field-description,0,Unused
management.html,management.css,CSS,.form-control,19,Used
management.html,management.css,CSS,.form-control-plaintext,0,Unused
management.html,management.css,CSS,.form-group,25,Used
management.html,management.css,CSS,.form-label,23,Used
management.html,management.css,CSS,.form-select,2,Used
management.html,management.css,CSS,.job-actions,0,Unused
management.html,management.css,CSS,.job-card,0,Unused
management.html,management.css,CSS,.job-config-panel,0,Unused
management.html,management.css,CSS,.job-config-title,0,Unused
management.html,management.css,CSS,.job-description,0,Unused
management.html,management.css,CSS,.job-info,0,Unused
management.html,management.css,CSS,.job-logs,0,Unused
management.html,management.css,CSS,.job-meta,0,Unused
management.html,management.css,CSS,.job-meta-item,0,Unused
management.html,management.css,CSS,.job-progress,0,Unused
management.html,management.css,CSS,.job-progress-bar,0,Unused
management.html,management.css,CSS,.job-stats-chart,0,Unused
